OBJECTID,TRAFFICCLOSURESID,CLOSURE_TYPE,STREET_NAME,STREET_FROM,STREET_TO,DATE_FROM,DATE_TO,REASON,STATUS,CLOSURE_SCHEDULED,DETAILS,DETOUR,ORGANIZATION,CONTACT,WATER,TIME,INSTRUCTIONS,INSTRUCTION_TEXT,UPDATES,CREATE_DATE,CREATE_BY,UPDATE_DATE,UPDATE_BY,STATUS_DATE,ALTERNATE_CONTACT,DOWNTOWN,MAP_CLASS,Shape__Length
1297,52785,Road,ALICE AVE,VICTORIA ST S,KARN ST,6/16/2015 12:00:00 PM,6/16/2015 12:00:00 PM,Sewer Work,Closed,Completed,1 day,,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,N,Road - Closed,292.542247132334
1300,52833,Road,ROSEDALE AVE,OTTAWA ST N,SHELDON AVE N,4/7/2015 12:00:00 PM,6/30/2015 12:00:00 PM,Road Reconstruction,Closed,Completed,,,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,N,Road - Closed,245.110423106453
1315,53494,Road,GUELPH ST,RIVERBEND DR,SPRING VALLEY RD,6/8/2015 12:00:00 PM,12/11/2015 5:00:00 AM,Bridge Work,Closed,Completed,MTO BRIDGEWORKS,LOCAL ACCESS TO BUSINESSES ONLY - DETOUR IN PLACE FOR APPROX 4 MONTHS,MTO,Other,,,,,,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,N,Road - Closed,398.450156237887
1329,52858,Road,EAST AVE,FREDERICK ST,BINGEMAN ST,6/11/2015 12:00:00 PM,6/11/2015 12:00:00 PM,Sewer Work,Closed,Completed,1 day,,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,199.327069489759
1330,53493,Road,GLASGOW ST,FISCHER HALLMAN RD,WESTMOUNT RD W,6/8/2015 12:00:00 PM,7/3/2015 12:00:00 PM,Other,Closed,Completed,TRAFFIC CALMING INSTALLATION AND COMPLETION OF 2014 ROAD RECONSTRUCTION,,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,TENTATIVE TWO WEEKS,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,N,Road - Closed,1688.73138576398
1601,52919,Road,HOMER WATSON OFFRAMP,HOMER WATSON BLVD,OTTAWA ST S,3/30/2015 12:00:00 PM,6/30/2015 12:00:00 PM,Bridge Work,Closed,Completed,March to June,,MTO,Other,,,,,,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,N,Road - Closed,524.42654743813
1602,52933,Road,HOMER WATSON ONRAMP,HOFFMAN ST,HOMER WATSON BLVD,3/23/2015 12:00:00 PM,7/10/2015 12:00:00 PM,Bridge Work,Closed,Completed,,,MTO,Other,,,,,,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,N,Road - Closed,297.112804125252
1603,52946,Road,KENNEDY AVE,KENT AVE,PALMER AVE,7/6/2015 12:00:00 PM,9/4/2015 12:00:00 PM,Road Reconstruction,Closed,Completed,2 months,,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,N,Road - Closed,156.10410449869
1605,53007,Road,LARKSPUR CRES,SUMMIT AVE,SUMMIT AVE,6/15/2015 12:00:00 PM,6/15/2015 12:00:00 PM,Sewer Work,Closed,Completed,1 day,,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,N,Road - Closed,319.354709963004
1606,53017,Road,MAPLE AVE,ARNOLD ST,UNION ST,6/8/2015 12:00:00 PM,8/15/2015 12:00:00 PM,Road Reconstruction,Closed,Completed,2 months,,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,N,Road - Closed,296.96460873278
1618,52982,Road,KING ST W,QUEEN ST S,YOUNG ST,5/19/2015 12:00:00 PM,6/12/2015 12:00:00 PM,Other,Closed,Completed,Building demolition,Through traffic detour via Frederick - Weber - Victoria,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,280.604655721658
1620,53044,Road,PARK ST,AGNES ST,VICTORIA ST S,8/4/2015 12:00:00 PM,9/18/2015 4:00:00 AM,ION Construction Work,Closed,Completed,LRT Track work,Access open to businesses - No Thru traffic - Tentative 3 weeks,Kitchener,GrandLinq Hotline 1-844-625-1010,,,,,,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,N,Road - Closed,495.665703637632
1621,53093,Road,STRASBURG RD,OLD COUNTRY DR,BLEAMS RD,6/11/2015 12:00:00 PM,6/11/2015 12:00:00 PM,Sewer Work,Closed,Completed,1 day,,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,461.615550895541
1622,53107,Road,UNION BLVD,WESTMOUNT RD W,DUNBAR RD,6/10/2015 12:00:00 PM,6/10/2015 12:00:00 PM,Sewer Work,Closed,Completed,1 day,,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,272.556557510507
1633,53030,Road,PALMER AVE,KENNEDY AVE,COURTLAND AVE E,6/6/2015 12:00:00 PM,9/4/2015 12:00:00 PM,Road Reconstruction,Closed,Completed,2 Months,,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,N,Road - Closed,66.2228332115472
1634,53057,Road,ROCKWAY DR,DOON RD,DIXON ST,6/11/2015 12:00:00 PM,6/11/2015 12:00:00 PM,Sewer Work,Closed,Completed,1 day,,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,314.02447696895
1635,53069,Road,SIEBERT AVE,CLARK AVE,VANIER DR,4/27/2015 12:00:00 PM,9/30/2015 12:00:00 PM,Road Reconstruction,Closed,Completed,Tentative 5 months,,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,N,Road - Closed,102.452736125346
1636,53081,Road,STIRLING AVE S,MILL ST,HIGHLAND RD E,4/9/2015 12:00:00 PM,6/23/2015 12:00:00 PM,Road Reconstruction,Closed,Completed,3 Months,,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,N,Road - Closed,298.66406245742
2241,53268,Road,CAMEO DR,HOFSTETTER AVE,END,6/29/2015 12:00:00 PM,11/30/2015 5:00:00 AM,Sewer Work,Closed,Completed,FREEPORT FORCEMAIN RECONSTRUCTION - 4 MONTHS,,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,NA,,NA,,,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,N,Road - Closed,319.971461163934
2242,52242,Road,CONNAUGHT ST,FRANKLIN ST S,NINTH AVE,6/23/2015 12:00:00 PM,6/23/2015 12:00:00 PM,Road Repair,Closed,Completed,1 DAY,,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,N,Road - Closed,202.129838321551
2257,52257,Road,EIGHTH AVE,GREENFIELD AVE,KINGSWAY DR,6/23/2015 12:00:00 PM,6/23/2015 12:00:00 PM,Road Repair,Closed,Completed,1 DAY,,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,N,Road - Closed,672.265263576096
2258,52258,Road,FRANKLIN ST S,KINGSWAY DR,WEBER ST E,6/29/2015 12:00:00 PM,10/30/2015 4:00:00 AM,Bridge Work,Closed,Completed,"PEDESTRIAN ACCESS ONLY MAINTAINED, CONTACT MTO FOR MORE INFORMATION",,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,N,Road - Closed,131.887504681037
2259,52259,Road,GILMOUR CRES,WESTMOUNT RD E,WESTMOUNT RD E,6/24/2015 12:00:00 PM,6/24/2015 12:00:00 PM,Road Repair,Closed,Completed,1 DAY,,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,N,Road - Closed,366.530383368905
2261,52261,Road,MANSION ST,ELLEN ST E,LANCASTER ST E,6/25/2015 12:00:00 PM,6/25/2015 12:00:00 PM,Sewer Work,Closed,Completed,1 DAY,,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,Y,Road - Closed,211.224193407369
2273,52273,Road,HIGHPARK AVE,PARKHILL CRT,HILLMOUNT ST,6/26/2015 12:00:00 PM,6/26/2015 12:00:00 PM,Sewer Work,Closed,Completed,1 DAY,,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,N,Road - Closed,100.817587328626
2274,52274,Road,HOFSTETTER AVE,KING ST E,END,6/26/2015 12:00:00 PM,11/30/2015 5:00:00 AM,Sewer Work,Closed,Completed,FREEPORT FORCE-MAIN RECONSTRUCTION,,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,N,Road - Closed,291.448159593043
2564,52564,Road,WINDALE CRES,HOWE DR,VALLEYVIEW RD,6/29/2015 12:00:00 PM,7/3/2015 12:00:00 PM,Utility Work,Closed,Completed,New service connections for new development - 5 days,Access via Valleyview Rd only,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,517.558403620277
2577,52577,Road,NORTH DR,MARLBOROUGH AVE,HIGHLAND RD W,6/23/2015 12:00:00 PM,6/26/2015 12:00:00 PM,Road Reconstruction,Closed,Completed,4 days,,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,65.2918394485994
2593,53489,Road,YELLOW BIRCH DR,HODDLE CRES,FRAN ELLEN CRES,6/25/2015 12:00:00 PM,6/25/2015 12:00:00 PM,Sewer Work,Closed,Completed,,,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,N,Road - Closed,205.312001460428
2595,52595,Road,SMETANA DR,VICTORIA ST N,END,6/29/2015 12:00:00 PM,6/29/2015 12:00:00 PM,Sewer Work,Closed,Completed,,,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,N,Road - Closed,68.0411722530848
2596,52596,Road,DALEGROVE DR,INGLESIDE DR,INGLESIDE DR,7/7/2015 12:00:00 PM,7/7/2015 12:00:00 PM,Sewer Work,Closed,Completed,,,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,NA,,NA,,,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,N,Road - Closed,425.374002161076
2597,52597,Road,LARKSPUR CRES,SUMMIT AVE,SUMMIT AVE,7/8/2015 12:00:00 PM,7/8/2015 12:00:00 PM,Sewer Work,Closed,Completed,,,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,NA,,NA,,,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,N,Road - Closed,330.475173168349
2614,52614,Road,SMETANA DR,ROTHSAY AVE,SUNRISE DR,6/30/2015 12:00:00 PM,6/30/2015 12:00:00 PM,Sewer Work,Closed,Completed,,,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,N,Road - Closed,101.460184831551
2615,52615,Road,MOORE AVE,WELLINGTON ST N,LOUISA ST,7/6/2015 12:00:00 PM,7/6/2015 12:00:00 PM,Sewer Work,Closed,Completed,,,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,N,Road - Closed,72.4811621120338
2616,52616,Road,TWEEDSDALE ST,NEWCASTLE DR,CRANSHAW ST,7/6/2015 12:00:00 PM,7/6/2015 12:00:00 PM,Sewer Work,Closed,Completed,,,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,N,Road - Closed,171.037210659011
2617,52617,Road,DUNSMERE CRT,DUNSMERE DR,END,7/9/2015 12:00:00 PM,7/9/2015 12:00:00 PM,Sewer Work,Closed,Completed,,,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,N,Road - Closed,171.517806884783
